feature,mean_abs_shap
rating,0.8976046
card_gold,0.688529
pace,0.30069354
card_special,0.1957968
num_playstyles_plus,0.18992656
defending,0.17058538
club_encoded,0.1601486
league_other,0.11876459
skill_moves,0.105077766
shooting,0.09654119
physical,0.082269505
league_premier_league,0.05966051
nat_other,0.059632637
num_playstyles,0.058182035
league_icons,0.05759765
dribbling,0.055427536
weak_foot,0.052570947
passing,0.046959817
cluster_mid,0.035898246
card_icons_heroes,0.030647557
nat_france,0.025038563
cluster_st,0.023236739
league_barclays_wsl,0.022451587
cluster_fullbacks,0.020262241
nat_netherlands,0.016462501
num_positions,0.014195554
league_laliga_ea_sports,0.012543376
nat_brazil,0.012253599
league_liga_f,0.011725794
nat_germany,0.010547869
nat_spain,0.009833927
league_bundesliga,0.008666582
nat_england,0.007516358
nat_italy,0.005707764
nat_portugal,0.005389759
league_serie_a_tim,0.004319917
cluster_att_mid,0.003910681
nat_united_states,0.003309271
league_ligue_1_mcdonalds,0.0013956924
cluster_cb,0.0013076889
nat_argentina,0.00059040135
