feature,importance,cumulative,cumulative_pct
card_gold,0.2596876,0.2596876,25.96876
rating,0.206625,0.4663126,46.63126
num_playstyles_plus,0.14743918,0.61375177,61.375175
card_special,0.05662921,0.67038095,67.03809
card_icons_heroes,0.046231095,0.71661204,71.6612
league_icons,0.040406432,0.75701845,75.70184
league_other,0.031749025,0.78876746,78.87675
club_encoded,0.01664297,0.80541044,80.541046
pace,0.01617611,0.82158655,82.15865
skill_moves,0.013603906,0.8351905,83.51905
num_playstyles,0.013375985,0.8485665,84.85664
league_barclays_wsl,0.012273602,0.8608401,86.08401
dribbling,0.010555595,0.8713957,87.13957
league_premier_league,0.009202003,0.8805977,88.05977
nat_other,0.00711554,0.88771325,88.771324
nat_france,0.0070460965,0.89475936,89.47594
nat_netherlands,0.006820638,0.90158,90.158
nat_brazil,0.006607665,0.9081876,90.81876
shooting,0.006506838,0.9146945,91.46945
weak_foot,0.006453574,0.92114806,92.11481
defending,0.006419346,0.9275674,92.756744
league_laliga_ea_sports,0.0062084594,0.9337759,93.377594
cluster_fullbacks,0.005908771,0.9396847,93.96847
league_liga_f,0.005503336,0.94518805,94.51881
physical,0.00500716,0.9501952,95.019516
league_serie_a_tim,0.0048715863,0.9550668,95.50668
nat_portugal,0.004673129,0.9597399,95.97399
nat_germany,0.0042701596,0.96401006,96.40101
passing,0.0041960934,0.96820617,96.82062
nat_england,0.004054328,0.9722605,97.22604
cluster_st,0.0036231058,0.9758836,97.58836
cluster_mid,0.0033616824,0.9792453,97.92453
nat_italy,0.00335519,0.9826005,98.26005
nat_spain,0.0031971147,0.98579764,98.579765
league_bundesliga,0.0028000087,0.98859763,98.859764
cluster_cb,0.0026105102,0.99120814,99.12081
num_positions,0.00243266,0.9936408,99.364075
nat_united_states,0.0019087599,0.99554956,99.554955
cluster_att_mid,0.0016621213,0.9972117,99.72117
league_ligue_1_mcdonalds,0.0016214667,0.9988332,99.883316
nat_argentina,0.0011669237,1.0000001,100.000015
