feature,importance
card_gold,0.2596876
rating,0.206625
num_playstyles_plus,0.14743918
card_special,0.05662921
card_icons_heroes,0.046231095
league_icons,0.040406432
league_other,0.031749025
club_encoded,0.01664297
pace,0.01617611
skill_moves,0.013603906
num_playstyles,0.013375985
league_barclays_wsl,0.012273602
dribbling,0.010555595
league_premier_league,0.009202003
nat_other,0.00711554
nat_france,0.0070460965
nat_netherlands,0.006820638
nat_brazil,0.006607665
shooting,0.006506838
weak_foot,0.006453574
defending,0.006419346
league_laliga_ea_sports,0.0062084594
cluster_fullbacks,0.005908771
league_liga_f,0.005503336
physical,0.00500716
league_serie_a_tim,0.0048715863
nat_portugal,0.004673129
nat_germany,0.0042701596
passing,0.0041960934
nat_england,0.004054328
cluster_st,0.0036231058
cluster_mid,0.0033616824
nat_italy,0.00335519
nat_spain,0.0031971147
league_bundesliga,0.0028000087
cluster_cb,0.0026105102
num_positions,0.00243266
nat_united_states,0.0019087599
cluster_att_mid,0.0016621213
league_ligue_1_mcdonalds,0.0016214667
nat_argentina,0.0011669237
